id,category,text,keyword_count,sentiment,risk_score
214,forecasting_error,A weekly report from Delta region connected children's syrup instability to projection and underestimated. Additional concerns include assumption.,4,-1,7.2
215,currency_issue,A w33kly r3port from D3lta r3gion conn3ct3d asthma inhal3rs instability to inflation and 3xchang3. Additional conc3rns includ3 hard curr3ncy. ,1,0,1.5
216,storage_issue," In Alexandria, cancer medicines availability has dropped. Reports mention leak and complications from spoilage. Additional concerns include mold.??",3,-0.5,6.75
217,distribution_center_issue,"In Giza, oral rehydration salts availability has dropped. Reports mention backlog and complications from slowdown. ",2,-0.5,3.6
218,storage_issue,a weekly report from cairo connected anticoagulants instability to spoilage and fridge. additional concerns include warehouse.,3,-0.5,6.75
219,neutral_report,Supply levels for insulin in Cairo remained normal.,0,0,0
220,forecasting_error,A WEEKLY REPORT FROM GIZA CONNECTED CHILDREN'S SYRUP INSTABILITY TO ESTIMATE AND TREND.,2,-0.5,2.7
221,it_system_failure,pharmacies in cairo reported issues with asthma inhalers. they cited downtime and software. additional concerns include update.,3,-0.5,3.6
222,forecasting_error,A  w33kly  r3port  from  n3w  urban  communiti3s  conn3ct3d  oral  r3hydration  salts  instability  to  ov3r3stimat3d  and  proj3ction.,0,0,0
223,supplier_problem,A weekly report from new urban communities connected vitamins instability to capacity and quota.,2,-0.5,4.2
224,labor_shortage,"IN  CAIRO,  INSULIN  AVAILABILITY  HAS  DROPPED.  REPORTS  MENTION  RESIGNATIONS  AND  COMPLICATIONS  FROM  ABSENT.",2,-0.5,3.3
225,manufacturing_issue,"In Canal cities, antihistamines availability has dropped. Reports mention capacity and complications from production.??",2,-0.5,5.1
226,supplier_problem,A weekly report from new urban communities connected cancer medicines instability to backlog and supplier. Additional concerns include backlog.,3,-0.5,6.3
227,it_system_failure,Pharmacies in Giza reported issues with IV fluids. They cited error and slow.,2,-0.5,2.4
228,contract_dispute,"In Canal cities, asthma inhalers availability has dropped. Reports mention renewal and complications from terms. Additional concerns include renewal.",3,-0.5,4.5
229,currency_issue,A weekly report from Upper Egypt connected antibiotics instability to currency and hard currency.,3,-0.5,6.75
230,transport_issue,Pharmaci3s in Canal citi3s r3port3d issu3s with painkill3rs. Th3y  ...cit3d traffic and cong3stion. Additional conc3rns includ3 accid3nt.,1,0,1
231,forecasting_error,A weekly report from Upper Egypt connected painkillers instability to underestimated and overestimated. Additional concerns include forecast.??,5,-1,9
232,currency_issue,a weekly report from new urban communities connected blood pressure drugs instability to inflation and exchange. additional concerns include rate.,3,-0.5,6.75
233,neutral_report, Pharmacies in Cairo reported stable availability of asthma inhalers this week.,0,0,0
234,regulation_issue,A WEEKLY REPORT FROM GIZA CONNECTED VITAMINS INSTABILITY TO APPROVAL AND LICENSE. ADDITIONAL CONCERNS INCLUDE LICENSE.,3,-0.5,7.2
235,storage_issue,"In new urban communities, cancer medicines availability has dropped. Reports mention spoilage and complications from fridge.",2,-0.5,4.5
236,forecasting_error, A weekly report from new urban communities connected antidepressants instability to miscalculated and estimate.,2,-0.5,2.7
237,supplier_problem,"In Cairo, children's syrup availability has dropped. Reports mention limit and complications from under-performing. Additional concerns include late.",3,-0.5,6.3
238,supplier_problem,A w33kly r3port from n3w urban communiti3s conn3ct3d childr3n's syrup instability to suppli3r and und3r-p3rforming. Additional conc3rns includ3 canc3ll3d.,0,0,0
239,neutral_report,ROUTINE UPDATES FROM COASTAL GOVERNORATES SHOWED NO MAJOR ISSUES FOR BLOOD PRESSURE DRUGS. ,0,0,0
240,neutral_report,supply levels for blood pressure drugs in alexandria remained normal.,0,0,0
241,neutral_report,Routine updates from Upper Egypt showed no major issues for asthma inhalers.,0,0,0
242,transport_issue,Pharmacies in Alexandria reported issues with anticoagulants. They cited detour and accident. Additional concerns include traffic.,3,-0.5,4.5
243,labor_shortage, A weekly report from coastal governorates connected vitamins instability to staff and strike. Additional concerns include sick leave.,3,-0.5,4.95
244,seasonal_variation," In new urban communities, blood pressure drugs availability has dropped. Reports mention cold and complications from festive. Additional concerns include festive. ",3,-0.5,3.15
245,storage_issue, A weekly report from Alexandria connected anticoagulants instability to expired and humidity. Additional concerns include expired.,3,-0.5,6.75
246,manufacturing_issue,"In coastal gov3rnorat3s, insulin availability has dropp3d. R3ports m3ntion batch and complications from br3akdown. Additional conc3rns includ3 production.",2,-0.5,5.1
247,distribution_center_issue,"in canal cities, insulin availability has dropped. reports mention hub and complications from capacity. additional concerns include processing.",3,-0.5,5.4
248,neutral_report,R3ports from Al3xandria indicat3d stabl3 distribution of asthma inhal3rs.,0,0,0
249,labor_shortage,Pharmacies in new urban communities reported issues with IV fluids. They cited turnover and vacancy. Additional concerns include absent.,3,-0.5,4.95
250,distribution_center_issue,Pharmacies in coastal governorates reported issues with painkillers. They cited loading and capacity. Additional concerns include backlog.,3,-0.5,5.4
251,quality_control_issue,"In Canal cities, antibiotics availability has dropped. Reports mention defect and complications from complaint. Additional concerns include test.",4,-1,14.4
252,neutral_report,Routine  updates  from  Giza  showed  no  major  issues  for  oral  rehydration  salts.,0,0,0
253,quality_control_issue,"In new urb@n communities, @ntico@gul@nts @v@il@bility h@s dropped. Reports mention nonconformity @nd complic@tions from f@iled. Addition@l concerns include compl@int.",1,0,1.8
254,it_system_failure,a  weekly  report  from  new  urban  communities  connected  iv  fluids  instability  to  crash  and  system.,2,-0.5,2.4
255,storage_issue,pharmacies in upper egypt reported issues with oral rehydration salts. they cited power cut and humidity.,2,-0.5,4.5
256,neutral_report,NO SIGNIFICANT DISRUPTIONS WERE NOTED FOR ASTHMA INHALERS IN ALEXANDRIA.,0,0,0
257,neutral_report,No significant disruptions were noted for IV fluids in new urban communities.,0,0,0
258,currency_issue,A weekly report from Upper Egypt connected children's syrup instability to foreign and inflation.,2,-0.5,4.5
259,currency_issue,A weekly report from new urban communities connected antibiotics inst ...ability to payment and foreign. Additional concerns include reserve.??,3,-0.5,6.75
260,storage_issue,A weekly report from Upper Egypt connected child . .....ren's syrup instability to expired and power cut.,2,-0.5,4.5
261,import_delay,A w33kly r3port from coastal gov3rnorat3s conn3ct3d anticoagulants instability to stuck and cl3aranc3. Additional conc3rns includ3 shipm3nt.,2,-0.5,3.6
262,it_system_failure,PHARMACIES IN GIZA REPORTED ISSUES WITH INSULIN. THEY CITED NETWORK AND LOGIN. ADDITIONAL CONCERNS INCLUDE BUG.??,3,-0.5,3.6
263,regulation_issue,Pharmacies in Canal cities reported issues with antiviral tablets. They cited recall and approval. Additional concerns include banned.,3,-0.5,7.2
264,manufacturing_issue,Pharmacies in Alexandria reported issues with anticoagulants. They cited breakdown and repair. Additional concerns include shutdown.,3,-0.5,7.65
265,currency_issue,A weekly report from new urban communities connected insulin instability to reserve and price.,2,-0.5,4.5
266,neutral_report, No significant disruptions were noted for antidepressants in Upper Egypt.??,0,0,0
267,seasonal_variation,PHARMACIES IN DELTA REGION REPORTED ISSUES WITH ORAL REHYDRATION SALTS. THEY CITED FESTIVE AND ALLERGY. ADDITIONAL CONCERNS INCLUDE TREND. ,3,-0.5,3.15
268,regulation_issue,pharmacies in coastal governorates reported issues with antiviral tablets. they cited warning and new rules.,2,-0.5,4.8
269,labor_shortage,A weekly report from Cairo connected anticoagulants instability to sick leave and strike.,2,-0.5,3.3
270,demand_spike,A  weekly  report  from  Cairo  connected  blood  pressure  drugs  instabilit  ...y  to  shortage  and  panic  buying.  Additional  concerns  include  unusual.,2,-0.5,3.9
271,manufacturing_issue, A weekly report from Canal cities connected cancer medicines instability to interruption and batch.,2,-0.5,5.1
272,demand_spike,A weekly report from Cairo connected asthma inhalers instability to unusual and sudden. Additional concerns include demand. ,3,-0.5,5.85
273,demand_spike,A weekly report from coastal governorates connected cancer medicines instability to peak and shortage.,2,-0.5,3.9
274,neutral_report,no significant disruptions were noted for asthma inhalers in giza.,0,0,0
275,supplier_problem,"In n3w urban communiti3s, childr3n's syrup availability has dropp3d. R3ports m3ntion miss3d and complications from quota. Additional conc3rns includ3 lat3.",1,0,1.4
276,currency_issue, A weekly report from Giz@ connected blood pressure drugs inst@bility to reserve @nd foreign. Addition@l concerns include b@nk.,2,-0.5,4.5
277,regulation_issue,"In Upper Egypt, cancer medicines availability has dropped. Reports mention regulation and complications from approval. Additional concerns include inspection. ",3,-0.5,7.2
278,manufacturing_issue,A weekly report from Giza connected asthma inhalers instability to breakdown and line. Additional concerns include capacity.,3,-0.5,7.65
279,manufacturing_issue,A  weekly  report  from  Canal  cities  connected  antibiotics  instability  to  repair  and  shutdown.,2,-0.5,5.1
280,transport_issue,"in alexandria, cancer medicines availability has dropped. reports mention blocked and complications from transport.",2,-0.5,3
281,transport_issue,"In C@iro, childr3n's syrup @v@il@bility h@s dropp3d. R3ports m3ntion cong3stion @nd complic@tions from block3d. Addition@l conc3rns includ3 d3tour.",0,0,0
282,it_system_failure,Pharmacies in Cairo reported issues with antibiotics. They cited crash and system. Additional concerns include bug. ,3,-0.5,3.6
283,neutral_report,Routine updates from Canal cities showed no major issues for children's syrup.,0,0,0
284,neutral_report,Reports from Giz@ indic@ted st@ble distribution of insulin.,0,0,0
285,seasonal_variation,pharmacies in delta region reported issues with anticoagulants. they cited trend and wave.,2,-0.5,2.1
286,import_delay,Pharmacies  in  Delta  region  reported  issues  with  antidepressants.  They  cited  queue  and  hold.  Additional  concerns  include  hold.  ,4,-1,9.6
287,manufacturing_issue,Pharmacies in new urban communities reported issues with vitamins. They cited defect and line. Additional concerns include production.,3,-0.5,7.65
288,regulation_issue,A weekly report from Upper Egypt connected insulin instability to compliance and restriction.,2,-0.5,4.8
289,demand_spike,A weekly report from Giza connected painkillers instabili ...ty to unusual and high. Additional concerns include spike.,3,-0.5,5.85
290,import_delay,"In Canal cities, vitamins availability has dropped. Reports mention stuck and complications from dock.",3,-0.5,5.4
291,neutral_report,routine updates from delta region showed no major issues for insulin. ,0,0,0
292,contract_dispute,"In Upp3r Egypt, IV fluids availability has dropp3d. R3ports m3ntion cla ...us3 and complications from contract. Additional conc3rns includ3 d3lay.",1,0,1
293,neutral_report,Supply levels for painkillers in Cairo remained normal.,0,0,0
294,neutral_report, Pharmacies in Upper Egypt reported stable availability of painkillers this week. ,0,0,0
295,currency_issue,"IN GIZA, ANTIBIOTICS AVAILABILITY HAS DROPPED. REPORTS MENTION PAYMENT AND COMPLICATIONS FROM FOREIGN.",2,-0.5,4.5
296,forecasting_error,"In Alexandria, asthma inhalers availability has dropped. Reports mention underestimated and complications from miscalculated. Additional concerns include unexpected. ",4,-1,7.2
297,transport_issue,Ph@rm@cies in new urb@n communities reported issues w ...ith @ntico@gul@nts. They cited tr@ffic @nd tr@nsport.,0,0,0
298,demand_spike,"in coastal governorates, cancer medicines availability has dropped. reports mention increase and complications from sudden. additional concerns include spike.",3,-0.5,5.85
299,distribution_center_issue,PHARMACIES  IN  ALEXANDRIA  REPORTED  ISSUES  WITH  ANTICOAGULANTS.  THEY  CITED  DISTRIBUTION  CENTER  AND  LOADING.,1,0,1.2
300,labor_shortage,Pharmacies in Cairo reported issues with IV fluids. They cited shift and sick leave.,2,-0.5,3.3
301,seasonal_variation,Pharmacies in Canal cities reported issues with vitamins. They cited cold and virus. Additional concerns include allergy.,3,-0.5,3.15
302,it_system_failure,"In new urban communities, antiviral tablets availability has dropped. Reports m ...ention software and complications from error. Additional concerns include data.",3,-0.5,3.6
303,neutral_report,ROUTINE UPD@TES FROM UPPER EGYPT SHOWED NO M@JOR ISSUES FOR CHILDREN'S SYRUP.,0,0,0
304,manufacturing_issue,Pharmacies in Canal cities reported issues with insulin. They cited batch and production.,2,-0.5,5.1
305,neutral_report,routine updates from new urban communities showed no major issues for insulin.,0,0,0
306,distribution_center_issue,"in new urban communities, oral rehydration salts availability has dropped. reports mention hub and complications from sorting.",2,-0.5,3.6
307,regulation_issue,"In Cairo, IV fluids availability has dropped. Reports mention inspection a ...nd complications from compliance. Additional concerns include restriction.",3,-0.5,7.2
308,demand_spike,A weekly report from coastal governorates connected blood pressure drugs instability to unusual and increase. Additional concerns include unusual.,3,-0.5,5.85
309,contract_dispute,Pharmacies in Delta region reported issues with vitamins. They cited cancellation and penalty.,2,-0.5,3
310,supplier_problem,Pharmacies in Giza reported issues with IV fluids. They cited backlog and supplier. Additional concerns include late.,3,-0.5,6.3
311,supplier_problem,"In Cairo, antibiotics availability has dropped. Reports mention capaci ...ty and complications from quota. Additional concerns include supplier.",2,-0.5,4.2
312,import_delay," In Cairo, antibiotics availability has dropped. Rep ...orts mention inspection and complications from dock.",2,-0.5,3.6
313,import_delay,"In Alexandria, anticoagulants availability has dropped. Reports mention port and complications from queue. Additional concerns include queue.",4,-1,9.6
314,neutral_report,No significant disruptions were noted for vitamins in Upper Egypt.,0,0,0
315,import_delay,"In Alexandria, cancer medicines availability has dropped. ... Reports mention clearance and complications from import.",4,-1,9.6
316,it_system_failure,A weekly report from Canal cities connected antiviral tablets instability to system and software. Additional concerns include offline.,3,-0.5,3.6
317,transport_issue,PHARMACIES IN COASTAL GOVERNORATES REPORTED ISSUES WITH IV FLUIDS. THEY CITED BLOCKED AND ACCIDENT. ADDITIONAL CONCERNS INCLUDE CLOSURE.,3,-0.5,4.5
318,transport_issue,A weekly report from Giz@ connected p@inkillers inst@bilit ...y to truck @nd ro@d. Addition@l concerns include @ccident.,1,0,1
319,import_delay,"In new urban communities, vitamins availability has dropped. Reports mention import and complications from delay. Additional concerns include delay.",5,-1,12
320,distribution_center_issue,A weekly report from Canal cities connected children's syrup instability to bottleneck and queue.,2,-0.5,3.6
321,neutral_report,Reports from Delta region indicated stable distribution of painkillers.??,0,0,0
322,transport_issue,"In Giza, insulin availability has dropped. Reports mention route and complications from detour. Additional concerns include truck.",3,-0.5,4.5
323,import_delay,pharmacies in canal cities reported issues with asthma inhalers. they cited stuck and inspection. additional concerns include dock.,4,-1,9.6
324,neutral_report,No significant disruptions were noted for anticoagulants in Cairo. ,0,0,0
325,transport_issue,A weekly report from new urban communities connected blood pressure drugs instability to truck and congestion.??,2,-0.5,3
326,currency_issue,Pharmacies in Cairo reported issues with asthma inhalers. They cited dollar and bank. Additional concerns include reserve.,3,-0.5,6.75
327,manufacturing_issue, Pharmacies in Cairo reported issues with vitamins. They cited line and repair. Additional concerns include raw material.,3,-0.5,7.65
328,currency_issue,"In Cairo, blood pressure drugs availability has dropped. Reports mention dollar and complications from foreign.",2,-0.5,4.5
329,neutral_report,No significant disruptions were  ...noted for vitamins in Alexandria.,0,0,0
330,neutral_report,Reports from new urban communities indicated stable distribution of anticoagulants. ,0,0,0
331,neutral_report,Reports from Giza indicated stable distribution of blood pressure drugs.,0,0,0
332,neutral_report,R3ports from Upp3r Egypt indicat3d stabl3 distribution of anticoagulants.,0,0,0
333,it_system_failure,"In coastal governorates, blood pressure drugs availability has dropped. Reports mention downtime and complications from offline. Additional concerns include error.",3,-0.5,3.6
334,it_system_failure,A weekly report from new urban communities connected cancer medicines instability to offline and slow.,2,-0.5,2.4
335,neutral_report,Routine updates from Upper Egypt show ...ed no major issues for antihistamines.,0,0,0
336,import_delay,Pharmaci3s in Al3xandria r3port3d issu3s with canc3r m3dicin3s. Th3y cit3d insp3ction and customs. Additional conc3rns includ3 d3lay.,2,-0.5,3.6
337,contract_dispute,"In Alexandria, antihistamines availability has dropped. Reports mention penalty and complications from pricing. Additional concerns include pricing.",3,-0.5,4.5
338,import_delay,Pharmacies in Upper Egypt reported issues with oral rehydration salts. They cited dock and stuck. ??,3,-0.5,5.4
339,neutral_report,Pharmacies in coastal governorates reported stable availability of oral rehydration salts this week.,0,0,0
340,transport_issue,Pharmacies in Cairo reported issues with anticoagulants. They cited bridge and delay. Additional concerns include closure.,3,-0.5,4.5
341,forecasting_error,"In Upper Egypt, IV fluids @v@il@bility h@s dropped. Reports mention scen@rio @nd complic@tions from model.",1,0,0.9
342,storage_issue,Pharmacies in Canal cities reported issues wit ...h children's syrup. They cited leak and damage.,2,-0.5,4.5
343,import_delay,Pharmacies in Giza reported issues with oral reh ...ydration salts. They cited stuck and offloading.,3,-0.5,5.4
344,it_system_failure,A weekly report from Canal cities connected oral rehydration salts instability to login and slow. Additional concerns include update.,3,-0.5,3.6
345,storage_issue,Pharmacies in Canal cities reported issues with IV fluids. They cited contamination and humidity.,2,-0.5,4.5
346,neutral_report,Routine updates from coastal governorates showed no major issues for insulin. ,0,0,0
347,manufacturing_issue,"IN D3LTA R3GION, CANC3R M3DICIN3S AVAILABILITY HAS DROPP3D. R3PORTS M3NTION FACTORY AND COMPLICATIONS FROM CAPACITY. ADDITIONAL CONC3RNS INCLUD3 INT3RRUPTION.",2,-0.5,5.1
348,neutral_report,Pharmacies in coastal governorates reporte ...d stable availability of insulin this week.,0,0,0
349,forecasting_error,Pharmaci3s in Canal citi3s r3port3d issu3s with insulin. Th3y cit3d un3xp3ct3d and sc3nario.,0,0,0
350,manufacturing_issue,Pharmacies  in  coastal  governorates  reported  issues  with  vitamins.  They  cited  factory  and  repair.??,2,-0.5,5.1
351,seasonal_variation,"In  new  urban  communities,  asthma  inhalers  availability  has  dropped.  Reports   ...mention  heat  and  complications  from  festive.  Additional  concerns  include  cold.",3,-0.5,3.15
352,transport_issue, pharmacies in new urban communities reported issues with oral rehydration salts. they cited closure and transport.,2,-0.5,3
353,quality_control_issue,"in upper egypt, antihistamines availability has dropped. reports mention lab and complications from investigation. additional concerns include lab.",4,-1,14.4
354,seasonal_variation,A weekly report from Delta region connected antibiotics instability to trend and winter. Additional concerns include season.,3,-0.5,3.15
355,seasonal_variation," In C@n@l cities, @ntico@gul@nts @v@il@bility h@s dropped. Reports mention festive @nd complic@tions from se@son. Addition@l concerns include virus.",2,-0.5,2.1
356,distribution_center_issue, Pharmacies in Cairo reported issues with asthma inhalers. They cited processing and backlog.,2,-0.5,3.6
357,neutral_report, reports from giza indicated stable distribution of oral rehydration salts.,0,0,0
358,labor_shortage,Ph@rm@cies in Alex@ndri@ reported issues with p@inkillers. They cited overtime @nd short@ge. Addition@l concerns include resign@tions.,1,0,1.1
359,storage_issue,A weekly report from Upper Egypt connected antihistamines instability to warehouse and expired. Additional concerns include fridge.,3,-0.5,6.75
360,neutral_report,Routine updates from coastal governorates showed no major issues for antibiotics.,0,0,0
361,regulation_issue, PHARMACIES IN DELTA REGION REPORTED ISSUES WITH ANTIVIRAL TABLETS. THEY CITED RECALL AND APPROVAL.,2,-0.5,4.8
362,demand_spike,A weekly report from Cairo connected blood pressure drugs instability to shortage and increase.??,2,-0.5,3.9
363,storage_issue," In D3lta r3gion, insulin availability has dropp3d. R3ports m3ntion fridg3 and complications from mold.",1,0,1.5
364,seasonal_variation,"In C@n@l cities, c@ncer medicines @v@il@bility h@s dropped. Reports mention trend @nd complic@tions from summer.",2,-0.5,2.1
365,it_system_failure,Pharmacies in Giza reported issues with cancer medicines. They  . .....cited network and update. Additional concerns include downtime.,3,-0.5,3.6
366,currency_issue,"In Upper Egypt, blood pressure drugs availability has dropped. Reports mention foreign and complications from dollar. Additional concerns include foreign.",3,-0.5,6.75
367,contract_dispute," In Upper Egypt, anticoagulants availability has dropped. Reports mention disagreement and complications from pricing.",2,-0.5,3
368,currency_issue,A weekly report from Upper Egypt connected antibiotics instability to devaluation and price.,2,-0.5,4.5
369,import_delay,"In Cairo, asthma inhalers availability has dropped. Reports mention import and complications from port.",4,-1,9.6
370,neutral_report,R3ports from Giza indicat3d stabl3 distribution of blood pr3ssur3 drugs. ,0,0,0
371,transport_issue,"In coastal governorates, IV fluids availability has dropped. Reports mention closure and complications from detour. Additional concerns include fuel. ",3,-0.5,4.5
372,storage_issue,"  In  Upper  Egypt,  anticoagulants  availability  has  dropped.  Reports  mention  fridge  and  complications  from  power  cut.  Additional  concerns  include  leak.",2,-0.5,4.5
373,storage_issue," In Cairo, childr3n's syrup availability has dropp3d. R3ports m3ntion storag3 and complications from t3mp3ratur3. Additional conc3rns includ3 l3ak.",0,0,0
374,forecasting_error,A weekly report from Upper Egypt connected cancer medicines instability to estimate and trend. Additional concerns include underestimated.,4,-1,7.2
375,manufacturing_issue,"In Giza, antiviral tablets availability has dropped. Reports mention interrup . .....tion and complications from capacity. Additional concerns include maintenance.",2,-0.5,5.1
376,seasonal_variation,Pharmaci3s in D3lta r3gion r3port3d issu3s with antihistamin3s. Th3y cit3d s3ason and h3at. Additional conc3rns includ3 flu.,1,0,0.7
377,seasonal_variation,Pharmacies in coastal governorates reported issues with antiviral tablets. They cited holiday and winter.,2,-0.5,2.1
378,forecasting_error,Pharmacies  in  Alexandria  reported  issues  with  antibiotics.  They  cited  overestimated  and  miscalculated.  Additional  concerns  include  overestimated.,5,-1,9
379,forecasting_error,"In new urb@n communities, @ntico@gul@nts @v@il@bility h@s dropped. Reports mention scen@rio @nd complic@tions from estim@te. Addition@l concerns include unexpected.",1,0,0.9
380,seasonal_variation, A weekly report from Giza connected antidepressants instability to virus and holiday. Additional concerns include seasonal.,4,-1,5.6
381,regulation_issue,"In coastal governorates, children's syrup availability has dropped. Reports mention warning and complications from new rules.",2,-0.5,4.8
382,neutral_report,R3ports from n3w urban communiti3s indicat3d stabl3 distribution of insulin.,0,0,0
383,labor_shortage,A weekly report from Giza connected painkillers instability to labor and turnover.??,2,-0.5,3.3
384,neutral_report,ROUTINE UPDATES FROM NEW URBAN COMMUNITIES SHOWED NO MAJOR ISSUES FOR ANTICOAGULANTS. ,0,0,0
385,supplier_problem,Pharmacies in Canal cities reported issues with antihistamines. They cited disruption and late.??,2,-0.5,4.2
386,transport_issue,"in upper egypt, iv fluids availability has dropped. reports mention tru ...ck and complications from congestion. additional concerns include route.",2,-0.5,3
387,forecasting_error,A weekly report from Canal cities connected insulin instability to planning and forecast. Additional concerns include forecast.,3,-0.5,4.05
388,transport_issue,A weekly report from Canal cities connected asthma inhalers instability to route and blocked. Additional concerns include congestion.,3,-0.5,4.5
389,manufacturing_issue,Pharmacies in Delta region reported issues with anticoagulants. They cited production and capacity.,2,-0.5,5.1
390,import_delay,Pharmacies in Canal cities reported issues with antidepressants. They cited stuck and inspection. Additional concerns include shipment.????,4,-1,9.6
391,regulation_issue,Pharmacies  in  Upper  Egypt  reported  issues  with  cancer  medicines.  They  cited  warning  and  new  rules.  Additional  concerns  include  safety.,2,-0.5,4.8
392,currency_issue,PHARMACIES IN GIZA REPORTED ISSUES WITH ANTICOAGULANTS. THEY CITED PRICE AND EXCHANGE. ADDITIONAL CONCERNS INCLUDE INFLATION.,3,-0.5,6.75
393,labor_shortage, Pharmacies in coastal governorates reported issues w ...ith children's syrup. They cited shift and sick leave.,2,-0.5,3.3
394,storage_issue,A weekly report from Alex@ndri@ connected IV fluids inst@bility to d@m@ge @nd temper@ture. Addition@l concerns include le@k.,0,0,0
395,distribution_center_issue,A weekly report from Canal cities connected antihistamines instability to backlog and queue. Additional concerns include distribution center. ,3,-0.5,5.4
396,neutral_report,NO SIGNIFICANT DISRUPTIONS WERE NOTED FOR CANCER MEDICINES IN DELTA REGION.,0,0,0
397,labor_shortage,pharmacies in coastal governorates reported issues with painkillers. they cited strike and absent. ,2,-0.5,3.3
398,distribution_center_issue,"In Cairo, asthma inhal3rs availability has dropp3d. R3ports m3ntion proc3ssing and complications from slowdown. ",1,0,1.2
399,contract_dispute,A weekly report from Canal cities connected anticoagulants insta . .....bility to renewal and dispute. Additional concerns include delay.,3,-0.5,4.5
400,neutral_report,Supply levels for antibiotics in Cairo remained normal.??,0,0,0
