,id,category,text,keyword_count,sentiment,risk_score,location,clean_text,keyword_count_clean
351,352,transport_issue, pharmacies in new urban communities reported issues with oral rehydration salts. they cited closure and transport.,2,-0.5,3.0,new, pharmacies in new urban communities reported issues with oral rehydration salts they cited closure and transport,1
352,353,quality_control_issue,"in upper egypt, antihistamines availability has dropped. reports mention lab and complications from investigation. additional concerns include lab.",4,-1.0,14.4,upper,in upper egypt antihistamines availability has dropped reports mention lab and complications from investigation additional concerns include lab,0
355,356,distribution_center_issue, Pharmacies in Cairo reported issues with asthma inhalers. They cited processing and backlog.,2,-0.5,3.6,Cairo, pharmacies in cairo reported issues with asthma inhalers they cited processing and backlog,1
357,358,labor_shortage,Ph@rm@cies in Alex@ndri@ reported issues with p@inkillers. They cited overtime @nd short@ge. Addition@l concerns include resign@tions.,1,0.0,1.1,Alex,phrmcies in alexndri reported issues with pinkillers they cited overtime nd shortge additionl concerns include resigntions,1
362,363,storage_issue," In D3lta r3gion, insulin availability has dropp3d. R3ports m3ntion fridg3 and complications from mold.",1,0.0,1.5,availability, in dlta rgion insulin availability has droppd rports mntion fridg and complications from mold,0
364,365,it_system_failure,Pharmacies in Giza reported issues with cancer medicines. They  . .....cited network and update. Additional concerns include downtime.,3,-0.5,3.6,Giza,pharmacies in giza reported issues with cancer medicines they   cited network and update additional concerns include downtime,1
375,376,seasonal_variation,Pharmaci3s in D3lta r3gion r3port3d issu3s with antihistamin3s. Th3y cit3d s3ason and h3at. Additional conc3rns includ3 flu.,1,0.0,0.7,D,pharmacis in dlta rgion rportd issus with antihistamins thy citd sason and hat additional concrns includ flu,0
376,377,seasonal_variation,Pharmacies in coastal governorates reported issues with antiviral tablets. They cited holiday and winter.,2,-0.5,2.1,coastal,pharmacies in coastal governorates reported issues with antiviral tablets they cited holiday and winter,1
384,385,supplier_problem,Pharmacies in Canal cities reported issues with antihistamines. They cited disruption and late.??,2,-0.5,4.2,Canal,pharmacies in canal cities reported issues with antihistamines they cited disruption and late,1
385,386,transport_issue,"in upper egypt, iv fluids availability has dropped. reports mention tru ...ck and complications from congestion. additional concerns include route.",2,-0.5,3.0,upper,in upper egypt iv fluids availability has dropped reports mention tru ck and complications from congestion additional concerns include route,0
386,387,forecasting_error,A weekly report from Canal cities connected insulin instability to planning and forecast. Additional concerns include forecast.,3,-0.5,4.05,instability,a weekly report from canal cities connected insulin instability to planning and forecast additional concerns include forecast,0
388,389,manufacturing_issue,Pharmacies in Delta region reported issues with anticoagulants. They cited production and capacity.,2,-0.5,5.1,Delta,pharmacies in delta region reported issues with anticoagulants they cited production and capacity,1
389,390,import_delay,Pharmacies in Canal cities reported issues with antidepressants. They cited stuck and inspection. Additional concerns include shipment.????,4,-1.0,9.6,Canal,pharmacies in canal cities reported issues with antidepressants they cited stuck and inspection additional concerns include shipment,1
392,393,labor_shortage, Pharmacies in coastal governorates reported issues w ...ith children's syrup. They cited shift and sick leave.,2,-0.5,3.3,coastal, pharmacies in coastal governorates reported issues w ith childrens syrup they cited shift and sick leave,1
396,397,labor_shortage,pharmacies in coastal governorates reported issues with painkillers. they cited strike and absent. ,2,-0.5,3.3,coastal,pharmacies in coastal governorates reported issues with painkillers they cited strike and absent ,1
399,400,neutral_report,Supply levels for antibiotics in Cairo remained normal.??,0,0.0,0.0,Cairo,supply levels for antibiotics in cairo remained normal,0
