category,text_clean
import_delay,pharmacies in upper egypt reported issues with oral rehydration salts. they cited dock and stuck.
neutral_report,pharmacies in coastal governorates reported stable availability of oral rehydration salts this week.
transport_issue,pharmacies in cairo reported issues with anticoagulants. they cited bridge and delay. additional concerns include closure.
forecasting_error,"in upper egypt, iv fluids availability has dropped. reports mention scenario and complications from model."
storage_issue,pharmacies in canal cities reported issues with children's syrup. they cited leak and damage.
import_delay,pharmacies in giza reported issues with oral rehydration salts. they cited stuck and offloading.
it_system_failure,a weekly report from canal cities connected oral rehydration salts instability to login and slow. additional concerns include update.
storage_issue,pharmacies in canal cities reported issues with iv fluids. they cited contamination and humidity.
neutral_report,routine updates from coastal governorates showed no major issues for insulin.
manufacturing_issue,"in delta region, cancer medicines availability has dropped. reports mention factory and complications from capacity. additional concerns include interruption."
neutral_report,pharmacies in coastal governorates reported stable availability of insulin this week.
forecasting_error,pharmacies in canal cities reported issues with insulin. they cited unexpected and scenario.
manufacturing_issue,pharmacies in coastal governorates reported issues with vitamins. they cited factory and repair.
seasonal_variation,"in new urban communities, asthma inhalers availability has dropped. reports mention heat and complications from festive. additional concerns include cold."
transport_issue,pharmacies in new urban communities reported issues with oral rehydration salts. they cited closure and transport.
quality_control_issue,"in upper egypt, antihistamines availability has dropped. reports mention lab and complications from investigation. additional concerns include lab."
seasonal_variation,a weekly report from delta region connected antibiotics instability to trend and winter. additional concerns include season.
seasonal_variation,"in canal cities, anticoagulants availability has dropped. reports mention festive and complications from season. additional concerns include virus."
distribution_center_issue,pharmacies in cairo reported issues with asthma inhalers. they cited processing and backlog.
neutral_report,reports from giza indicated stable distribution of oral rehydration salts.
labor_shortage,pharmacies in alexandria reported issues with painkillers. they cited overtime and shortage. additional concerns include resignations.
storage_issue,a weekly report from upper egypt connected antihistamines instability to warehouse and expired. additional concerns include fridge.
neutral_report,routine updates from coastal governorates showed no major issues for antibiotics.
regulation_issue,pharmacies in delta region reported issues with antiviral tablets. they cited recall and approval.
demand_spike,a weekly report from cairo connected blood pressure drugs instability to shortage and increase.
storage_issue,"in delta region, insulin availability has dropped. reports mention fridge and complications from mold."
seasonal_variation,"in canal cities, cancer medicines availability has dropped. reports mention trend and complications from summer."
it_system_failure,pharmacies in giza reported issues with cancer medicines. they ...cited network and update. additional concerns include downtime.
currency_issue,"in upper egypt, blood pressure drugs availability has dropped. reports mention foreign and complications from dollar. additional concerns include foreign."
contract_dispute,"in upper egypt, anticoagulants availability has dropped. reports mention disagreement and complications from pricing."
currency_issue,a weekly report from upper egypt connected antibiotics instability to devaluation and price.
import_delay,"in cairo, asthma inhalers availability has dropped. reports mention import and complications from port."
neutral_report,reports from giza indicated stable distribution of blood pressure drugs.
transport_issue,"in coastal governorates, iv fluids availability has dropped. reports mention closure and complications from detour. additional concerns include fuel."
storage_issue,"in upper egypt, anticoagulants availability has dropped. reports mention fridge and complications from power cut. additional concerns include leak."
storage_issue,"in cairo, children's syrup availability has dropped. reports mention storage and complications from temperature. additional concerns include leak."
forecasting_error,a weekly report from upper egypt connected cancer medicines instability to estimate and trend. additional concerns include underestimated.
manufacturing_issue,"in giza, antiviral tablets availability has dropped. reports mention interrup ...tion and complications from capacity. additional concerns include maintenance."
seasonal_variation,pharmacies in delta region reported issues with antihistamines. they cited season and heat. additional concerns include flu.
seasonal_variation,pharmacies in coastal governorates reported issues with antiviral tablets. they cited holiday and winter.
forecasting_error,pharmacies in alexandria reported issues with antibiotics. they cited overestimated and miscalculated. additional concerns include overestimated.
forecasting_error,"in new urban communities, anticoagulants availability has dropped. reports mention scenario and complications from estimate. additional concerns include unexpected."
seasonal_variation,a weekly report from giza connected antidepressants instability to virus and holiday. additional concerns include seasonal.
regulation_issue,"in coastal governorates, children's syrup availability has dropped. reports mention warning and complications from new rules."
neutral_report,reports from new urban communities indicated stable distribution of insulin.
labor_shortage,a weekly report from giza connected painkillers instability to labor and turnover.
neutral_report,routine updates from new urban communities showed no major issues for anticoagulants.
supplier_problem,pharmacies in canal cities reported issues with antihistamines. they cited disruption and late.
transport_issue,"in upper egypt, iv fluids availability has dropped. reports mention truck and complications from congestion. additional concerns include route."
forecasting_error,a weekly report from canal cities connected insulin instability to planning and forecast. additional concerns include forecast.
transport_issue,a weekly report from canal cities connected asthma inhalers instability to route and blocked. additional concerns include congestion.
manufacturing_issue,pharmacies in delta region reported issues with anticoagulants. they cited production and capacity.
import_delay,pharmacies in canal cities reported issues with antidepressants. they cited stuck and inspection. additional concerns include shipment.
regulation_issue,pharmacies in upper egypt reported issues with cancer medicines. they cited warning and new rules. additional concerns include safety.
currency_issue,pharmacies in giza reported issues with anticoagulants. they cited price and exchange. additional concerns include inflation.
labor_shortage,pharmacies in coastal governorates reported issues with children's syrup. they cited shift and sick leave.
storage_issue,a weekly report from alexandria connected iv fluids instability to damage and temperature. additional concerns include leak.
distribution_center_issue,a weekly report from canal cities connected antihistamines instability to backlog and queue. additional concerns include distribution center.
neutral_report,no significant disruptions were noted for cancer medicines in delta region.
labor_shortage,pharmacies in coastal governorates reported issues with painkillers. they cited strike and absent.
distribution_center_issue,"in cairo, asthma inhalers availability has dropped. reports mention processing and complications from slowdown."
contract_dispute,a weekly report from canal cities connected anticoagulants insta ...bility to renewal and dispute. additional concerns include delay.
neutral_report,supply levels for antibiotics in cairo remained normal.
